"file"	"line"	"tag"	"className"
"frontend/src/components/Button.tsx"	"73"	"button"	"{classes}"
"frontend/src/components/ChannelTypeCombobox.tsx"	"120"	"button"	""
"frontend/src/components/ChannelTypeCombobox.tsx"	"173"	"button"	""
"frontend/src/components/CommissionPanel.tsx"	"227"	"button"	"""btn-sm"""
"frontend/src/components/CommissionPanel.tsx"	"254"	"button"	"""btn-primary"""
"frontend/src/components/CommissionPanel.tsx"	"263"	"button"	"""btn-secondary"""
"frontend/src/components/ConfirmModal.tsx"	"33"	"button"	"""btn-secondary"""
"frontend/src/components/ConfirmModal.tsx"	"34"	"button"	"{danger ? ""btn-danger"" : ""btn-primary""}"
"frontend/src/components/CountryCombobox.tsx"	"119"	"button"	""
"frontend/src/components/CountryCombobox.tsx"	"172"	"button"	""
"frontend/src/components/DataTable.tsx"	"197"	"button"	"{[                       'comp-table__sort-btn',                       sortKey === col.key ? 'comp-table__sort-btn--active' : '',                     ].filter(Boolean).join(' ')}"
"frontend/src/components/DataTable.tsx"	"286"	"button"	"""btn-sm"""
"frontend/src/components/DataTable.tsx"	"298"	"button"	"""btn-sm"""
"frontend/src/components/DesktopShell.tsx"	"68"	"button"	"{`sidebar-item sidebar-accordion-btn${isActive ? "" active"" : """"}`}"
"frontend/src/components/DesktopShell.tsx"	"411"	"button"	"""avatar-btn"""
"frontend/src/components/DesktopShell.tsx"	"438"	"button"	"""user-drawer-close"""
"frontend/src/components/DesktopShell.tsx"	"451"	"button"	"""user-drawer-action"""
"frontend/src/components/DesktopShell.tsx"	"461"	"button"	"""user-drawer-action"""
"frontend/src/components/DesktopShell.tsx"	"471"	"button"	"""user-drawer-action"""
"frontend/src/components/DesktopShell.tsx"	"479"	"button"	"""user-drawer-action user-drawer-action--danger"""
"frontend/src/components/GoogleCalendarStatusBar.tsx"	"128"	"button"	""
"frontend/src/components/HeaderButton.tsx"	"48"	"button"	"{VARIANT_CLASS[variant]}"
"frontend/src/components/InventorySearchBar.tsx"	"301"	"button"	""
"frontend/src/components/InventorySearchBar.tsx"	"317"	"button"	""
"frontend/src/components/MergeLeadModal.tsx"	"243"	"button"	""
"frontend/src/components/MergeLeadModal.tsx"	"246"	"button"	"""btn-primary"""
"frontend/src/components/MergeLeadModal.tsx"	"302"	"button"	""
"frontend/src/components/MergeLeadModal.tsx"	"309"	"button"	"""btn-danger"""
"frontend/src/components/MobileShell.tsx"	"200"	"button"	"""mobile-menu-action"""
"frontend/src/components/MobileShell.tsx"	"216"	"button"	"""mobile-menu-action"""
"frontend/src/components/MobileShell.tsx"	"224"	"button"	"""mobile-menu-action mobile-menu-action--danger"""
"frontend/src/components/MobileShell.tsx"	"287"	"button"	"""mobile-tab"""
