file	line	tag
frontend/src/pages/account-settings/AccountSettingsPage.tsx	9	PageLayout
frontend/src/pages/account-settings/PreferencesSection.tsx	38	select
frontend/src/pages/account-settings/ProfileSection.tsx	124	button
frontend/src/pages/account-settings/SecuritySection.tsx	104	button
frontend/src/pages/admin/ChannelMastersPage.tsx	75	PageLayout
frontend/src/pages/admin/ChannelMastersPage.tsx	80	table
frontend/src/pages/admin/ChannelMastersPage.tsx	97	button
frontend/src/pages/admin/ChannelMastersPage.tsx	131	button
frontend/src/pages/admin/DiscordAnnouncePage.tsx	61	PageLayout
frontend/src/pages/admin/DiscordAnnouncePage.tsx	68	PageLayout
frontend/src/pages/admin/DiscordAnnouncePage.tsx	97	textarea
frontend/src/pages/admin/DiscordAnnouncePage.tsx	115	button
frontend/src/pages/admin/DiscordConfigPage.tsx	244	PageLayout
frontend/src/pages/admin/DiscordConfigPage.tsx	251	PageLayout
frontend/src/pages/admin/DiscordConfigPage.tsx	278	button
frontend/src/pages/admin/DiscordConfigPage.tsx	300	button
frontend/src/pages/admin/DiscordConfigPage.tsx	449	textarea
frontend/src/pages/admin/DiscordConfigPage.tsx	541	button
frontend/src/pages/admin/DiscordConfigPage.tsx	557	button
frontend/src/pages/admin/InventoryVisibilityPage.tsx	116	PageLayout
frontend/src/pages/admin/InventoryVisibilityPage.tsx	125	PageLayout
frontend/src/pages/admin/InventoryVisibilityPage.tsx	132	table
frontend/src/pages/admin/InventoryVisibilityPage.tsx	161	button
frontend/src/pages/admin/TenantPolicyPage.tsx	134	PageLayout
frontend/src/pages/admin/TenantPolicyPage.tsx	143	PageLayout
frontend/src/pages/admin/TenantPolicyPage.tsx	166	select
frontend/src/pages/admin/TenantPolicyPage.tsx	265	select
frontend/src/pages/admin/TenantPolicyPage.tsx	282	select
frontend/src/pages/admin/TenantPolicyPage.tsx	304	button
frontend/src/pages/admin/TenantProfilePage.tsx	125	PageLayout
frontend/src/pages/admin/TenantProfilePage.tsx	132	PageLayout
frontend/src/pages/admin/TenantProfilePage.tsx	168	textarea
frontend/src/pages/admin/TenantProfilePage.tsx	233	select
frontend/src/pages/admin/TenantProfilePage.tsx	249	button
frontend/src/pages/archives/ArchivesPage.tsx	32	PageLayout
frontend/src/pages/archives/ArchivesPage.tsx	60	button
frontend/src/pages/archives/ArchivesPage.tsx	67	DataTable
frontend/src/pages/badges/BadgesPage.tsx	41	PageLayout
frontend/src/pages/badges/BadgesPage.tsx	47	ContentToolbar
frontend/src/pages/badges/BadgesPage.tsx	48	button
frontend/src/pages/badges/BadgesPage.tsx	61	textarea
frontend/src/pages/badges/BadgesPage.tsx	66	button
frontend/src/pages/badges/BadgesPage.tsx	67	button
frontend/src/pages/badges/BadgesPage.tsx	76	table
frontend/src/pages/bots/BotEditPage.tsx	80	PageLayout
frontend/src/pages/bots/BotEditPage.tsx	88	button
frontend/src/pages/bots/BotEditPage.tsx	95	button
frontend/src/pages/bots/BotFormFields.tsx	60	Select
frontend/src/pages/bots/BotFormFields.tsx	67	Select
frontend/src/pages/bots/BotFormFields.tsx	73	Select
frontend/src/pages/bots/BotsPage.tsx	195	PageLayout
frontend/src/pages/bots/BotsPage.tsx	200	ContentToolbar
frontend/src/pages/bots/BotsPage.tsx	202	button
frontend/src/pages/bots/BotsPage.tsx	212	button
frontend/src/pages/bots/BotsPage.tsx	232	select
frontend/src/pages/bots/BotsPage.tsx	240	select
frontend/src/pages/bots/BotsPage.tsx	247	select
frontend/src/pages/bots/BotsPage.tsx	259	button
frontend/src/pages/bots/BotsPage.tsx	260	button
frontend/src/pages/bots/BotsPage.tsx	281	button
frontend/src/pages/bots/BotsPage.tsx	282	button
frontend/src/pages/bots/BotsPage.tsx	310	button
frontend/src/pages/bots/BotsPage.tsx	311	button
frontend/src/pages/bots/BotsPage.tsx	312	button
frontend/src/pages/bots/BotsPage.tsx	318	DataTable
frontend/src/pages/buddy/BuddyPage.tsx	46	PageLayout
frontend/src/pages/buddy/BuddyPage.tsx	52	ContentToolbar
frontend/src/pages/buddy/BuddyPage.tsx	53	button
frontend/src/pages/buddy/BuddyPage.tsx	65	textarea
frontend/src/pages/buddy/BuddyPage.tsx	67	button
frontend/src/pages/buddy/BuddyPage.tsx	68	button
frontend/src/pages/buddy/BuddyPage.tsx	75	table
frontend/src/pages/buddy/BuddyPage.tsx	84	button
frontend/src/pages/buddy/BuddyPage.tsx	91	table
frontend/src/pages/channels/ChannelsPage.tsx	333	PageLayout
frontend/src/pages/channels/ChannelsPage.tsx	347	button
frontend/src/pages/channels/ChannelsPage.tsx	386	button
frontend/src/pages/channels/ChannelsPage.tsx	404	button
frontend/src/pages/channels/ChannelsPage.tsx	435	button
frontend/src/pages/channels/ChannelsPage.tsx	521	button
frontend/src/pages/channels/ChannelsPage.tsx	557	button
frontend/src/pages/channels/ChannelsPage.tsx	600	button
frontend/src/pages/channels/ChannelsPage.tsx	607	button
frontend/src/pages/commission-settings/CommissionSettingsPage.tsx	174	PageLayout
frontend/src/pages/commission-settings/CommissionSettingsPage.tsx	189	table
frontend/src/pages/commission-settings/CommissionSettingsPage.tsx	205	select
frontend/src/pages/commission-settings/CommissionSettingsPage.tsx	251	button
frontend/src/pages/commissions/CommissionsPage.tsx	132	PageLayout
frontend/src/pages/commissions/CommissionsPage.tsx	182	DataTable
frontend/src/pages/commissions/CommissionsPage.tsx	200	DataTable
frontend/src/pages/commissions/CommissionsPage.tsx	226	button
frontend/src/pages/commissions/CommissionsPage.tsx	238	DataTable
frontend/src/pages/companies/CompaniesPage.tsx	358	button
frontend/src/pages/companies/CompaniesPage.tsx	373	PageLayout
frontend/src/pages/companies/CompaniesPage.tsx	380	ContentToolbar
frontend/src/pages/companies/CompaniesPage.tsx	409	button
frontend/src/pages/companies/CompaniesPage.tsx	412	button
frontend/src/pages/companies/CompaniesPage.tsx	418	DataTable
frontend/src/pages/companies/CompaniesPage.tsx	438	button
frontend/src/pages/companies/CompaniesPage.tsx	439	button
frontend/src/pages/companies/CompaniesPage.tsx	440	button
frontend/src/pages/companies/CompaniesPage.tsx	496	textarea
frontend/src/pages/companies/CompaniesPage.tsx	504	select
frontend/src/pages/companies/CompaniesPage.tsx	513	textarea
frontend/src/pages/companies/CompaniesPage.tsx	550	button
frontend/src/pages/companies/CompaniesPage.tsx	551	button
frontend/src/pages/companies/CompaniesPage.tsx	572	button
frontend/src/pages/companies/CompaniesPage.tsx	573	button
frontend/src/pages/companies/CompanyFormFields.tsx	42	Select
frontend/src/pages/companies/CompanyFormFields.tsx	64	textarea
frontend/src/pages/company-detail/CompanyAddressModal.tsx	84	Select
frontend/src/pages/company-detail/CompanyAddressModal.tsx	153	Button
frontend/src/pages/company-detail/CompanyAddressModal.tsx	154	Button
frontend/src/pages/company-detail/CompanyAddressesTab.tsx	30	table
frontend/src/pages/company-detail/CompanyAddressesTab.tsx	52	button
frontend/src/pages/company-detail/CompanyAddressesTab.tsx	53	button
frontend/src/pages/company-detail/CompanyAddressesTab.tsx	73	button
frontend/src/pages/company-detail/CompanyAddressesTab.tsx	87	button
frontend/src/pages/company-detail/CompanyBasicTab.tsx	79	textarea
frontend/src/pages/company-detail/CompanyBasicTab.tsx	83	select
frontend/src/pages/company-detail/CompanyBasicTab.tsx	92	textarea
frontend/src/pages/company-detail/CompanyBasicTab.tsx	97	button
frontend/src/pages/company-detail/CompanyBasicTab.tsx	126	button
frontend/src/pages/company-detail/CompanyBasicTab.tsx	135	button
frontend/src/pages/company-detail/CompanyChannelsTab.tsx	37	button
frontend/src/pages/company-detail/CompanyContactsTab.tsx	93	Button
frontend/src/pages/company-detail/CompanyContactsTab.tsx	102	table
frontend/src/pages/company-detail/CompanyContactsTab.tsx	124	Button
frontend/src/pages/company-detail/CompanyContactsTab.tsx	129	Button
frontend/src/pages/company-detail/CompanyContactsTab.tsx	132	Button
frontend/src/pages/company-detail/CompanyContactsTab.tsx	136	Button
frontend/src/pages/company-detail/CompanyContactsTab.tsx	193	Select
frontend/src/pages/company-detail/CompanyContactsTab.tsx	216	Button
frontend/src/pages/company-detail/CompanyContactsTab.tsx	219	Button
frontend/src/pages/company-detail/CompanyConvLogsTab.tsx	73	select
frontend/src/pages/company-detail/CompanyDetailPage.tsx	90	PageLayout
frontend/src/pages/company-detail/CompanyDetailPage.tsx	104	Button
frontend/src/pages/company-detail/CompanyDetailPage.tsx	107	Button
frontend/src/pages/company-detail/CompanyDetailPage.tsx	110	Button
frontend/src/pages/company-detail/CompanyDetailPage.tsx	113	Button
frontend/src/pages/company-detail/CompanyDetailPage.tsx	116	Button
frontend/src/pages/company-detail/CompanyDetailPage.tsx	119	Button
frontend/src/pages/company-detail/CompanyDiscordTab.tsx	90	button
frontend/src/pages/company-detail/CompanyDiscordTab.tsx	97	button
frontend/src/pages/contacts/ContactEditPage.tsx	134	PageLayout
frontend/src/pages/contacts/ContactEditPage.tsx	140	Select
frontend/src/pages/contacts/ContactEditPage.tsx	178	Select
frontend/src/pages/contacts/ContactEditPage.tsx	190	textarea
frontend/src/pages/contacts/ContactEditPage.tsx	198	button
frontend/src/pages/contacts/ContactEditPage.tsx	201	button
frontend/src/pages/contacts/ContactEditPage.tsx	209	button
frontend/src/pages/contacts/ContactEditPage.tsx	210	button
frontend/src/pages/contacts/ContactFormFields.tsx	46	Select
frontend/src/pages/contacts/ContactFormFields.tsx	83	Select
frontend/src/pages/contacts/ContactsPage.tsx	252	button
frontend/src/pages/contacts/ContactsPage.tsx	264	PageLayout
frontend/src/pages/contacts/ContactsPage.tsx	269	ContentToolbar
frontend/src/pages/contacts/ContactsPage.tsx	272	select
frontend/src/pages/contacts/ContactsPage.tsx	307	select
frontend/src/pages/contacts/ContactsPage.tsx	340	select
frontend/src/pages/contacts/ContactsPage.tsx	347	textarea
frontend/src/pages/contacts/ContactsPage.tsx	350	button
frontend/src/pages/contacts/ContactsPage.tsx	351	button
frontend/src/pages/contacts/ContactsPage.tsx	373	button
frontend/src/pages/contacts/ContactsPage.tsx	374	button
frontend/src/pages/contacts/ContactsPage.tsx	396	button
frontend/src/pages/contacts/ContactsPage.tsx	399	button
frontend/src/pages/contacts/ContactsPage.tsx	404	button
frontend/src/pages/contacts/ContactsPage.tsx	410	DataTable
frontend/src/pages/crm/CustomerHubPage.tsx	69	PageLayout
frontend/src/pages/dashboard/DashboardPage.tsx	394	PageLayout
frontend/src/pages/dashboard/DashboardPage.tsx	404	PageLayout
frontend/src/pages/dashboard/DashboardPage.tsx	412	select
frontend/src/pages/dashboard/DashboardPage.tsx	423	button
frontend/src/pages/dashboard/DashboardPage.tsx	430	button
frontend/src/pages/dashboard/DashboardPage.tsx	441	select
