width,height,dark,lang,kind,mode,amount,equivalent200Percent,required,available,natural_fits,reference_matched,before_unchanged,before_footer_height,after_footer_height,after_child_count,after_inside,after_text_unclipped,after_nonoverlap,same_children,body_client_height,body_scroll_height,body_scroll_top
320,360,False,ja,purchase,existing,0,False,277.0625,272,False,True,True,98,136,3,True,True,True,False,108,831,723
320,360,False,ja,purchase,new,0,False,277.0625,272,False,True,True,98,136,3,True,True,True,False,108,831,723
320,360,False,ja,purchase,saving,0,False,303.453125,272,False,True,True,98,136,3,True,True,True,False,108,831,723
320,360,False,ja,shipping,existing,0,False,407.5,272,False,True,True,120,136,3,True,True,True,False,108,1529,1421
320,360,False,ja,shipping,new,0,False,407.5,272,False,True,True,120,136,3,True,True,True,False,108,1529,1421
320,360,False,ja,shipping,saving,0,False,433.890625,272,False,True,True,120,136,3,True,True,True,False,108,1529,1421
320,360,False,ja,orders,existing,0,False,265.515625,272,True,True,True,80,80,3,True,True,True,True,164,412,248
320,360,False,ja,orders,existing,123450,False,319.140625,272,False,True,True,98,136,3,True,True,True,False,108,393,285
320,360,False,ja,orders,existing,999999999999,False,393.671875,272,False,True,True,164,117.59375,3,True,True,True,False,126,393,267
320,360,False,ja,orders,saving,123450,False,345.53125,272,False,True,True,98,136,3,True,True,True,False,108,393,285
320,360,False,en,purchase,existing,0,False,289.6875,272,False,True,True,80,136,3,True,True,True,False,108,874,766
320,360,False,en,purchase,new,0,False,296.875,272,False,True,True,80,136,3,True,True,True,False,108,874,766
320,360,False,en,purchase,saving,0,False,299.296875,272,False,True,True,80,136,3,True,True,True,False,108,874,766
320,360,False,en,shipping,existing,0,False,376.15625,272,False,True,True,102,136,3,True,True,True,False,108,1547,1439
320,360,False,en,shipping,new,0,False,383.34375,272,False,True,True,102,136,3,True,True,True,False,108,1547,1439
320,360,False,en,shipping,saving,0,False,385.765625,272,False,True,True,102,136,3,True,True,True,False,108,1547,1439
320,360,False,en,orders,existing,0,False,270.125,272,True,True,True,80,80,3,True,True,True,True,164,393,229
320,360,False,en,orders,existing,123450,False,323.75,272,False,True,True,87.1875,136,3,True,True,True,False,108,393,285
320,360,False,en,orders,existing,999999999999,False,398.28125,272,False,True,True,87.1875,117.59375,3,True,True,True,False,126,393,267
320,360,False,en,orders,saving,123450,False,346.96875,272,False,True,True,87.1875,136,3,True,True,True,False,108,393,285
