mark,japanese_title,english_title,release_date,search_keywords,exclude_keywords,division_code,work_code,manufacturer_code,product_category_code
SA,スターターセットV 草,V Starter Set Grass,2019-11-29,"スターターセットV 草,スターターセットV草",種セット,DIV01,IP001,MK001,PC_BOX
SA,スターターセットV 炎,V Starter Set Fire,2019-11-29,"スターターセットV 炎,スターターセットV炎","種セット,セブン",DIV01,IP001,MK001,PC_BOX
SA,スターターセットV 水,V Starter Set Water,2019-11-29,"スターターセットV 水,スターターセットV水",種セット,DIV01,IP001,MK001,PC_BOX
SA,スターターセットV 雷,V Starter Set Lightning,2019-11-29,"スターターセットV 雷,スターターセットV雷",種セット,DIV01,IP001,MK001,PC_BOX
SA,スターターセットV 闘,V Starter Set Fighting,2019-11-29,"スターターセットV 闘,スターターセットV闘",種セット,DIV01,IP001,MK001,PC_BOX
SA,スターターセットV5 コンプリートバトルボックス,V5 Starter Set Complete Battle Box,2019-11-29,"スターターセットV5 コンプリートバトルボックス,スターターセットV5コンプリートバトルボックス",,DIV01,IP001,MK001,PC_BOX
SA,トイザらス限定 トリプルスターターセットV,Toys R Us Limited Triple V Starter Set,2019-11-29,"トイザらス限定 トリプルスターターセットV,トイザらス限定トリプルスターターセットV",,DIV01,IP001,MK001,PC_BOX
SA,セブン-イレブン限定スペシャルセット スターターセットV炎,V Starter Set Fire 7-Eleven Limited Special Set,2019-11-29,"セブン-イレブン限定スペシャルセット スターターセットV炎,セブン-イレブン限定スペシャルセットスターターセットV炎",,DIV01,IP001,MK001,PC_BOX
SB,プレミアムトレーナーボックス ソード＆シールド,Sword & Shield Premium Trainer Box,2019-12-06,"プレミアムトレーナーボックス ソード＆シールド,プレミアムトレーナーボックスソード＆シールド",,DIV01,IP001,MK001,PC_BOX
SP1,ザシアン＋ザマゼンタBOX,Zacian + Zamazenta Box,2019-12-27,ザシアン＋ザマゼンタBOX,,DIV01,IP001,MK001,PC_BOX
SC,スターターセットVMAX リザードン,Charizard VMAX Starter Set,2020-03-27,"スターターセットVMAX リザードン,スターターセットVMAXリザードン",種セット,DIV01,IP001,MK001,PC_BOX
SC,スターターセットVMAX オーロンゲ,Grimmsnarl VMAX Starter Set,2020-03-27,"スターターセットVMAX オーロンゲ,スターターセットVMAXオーロンゲ",種セット,DIV01,IP001,MK001,PC_BOX
SD,Vスタートデッキ草 フシギバナ,Grass Venusaur V Deck,2020-07-10,"Vスタートデッキ草 フシギバナ,Vスタートデッキ草フシギバナ",種セット,DIV01,IP001,MK001,PC_BOX
SD,Vスタートデッキ炎 ガオガエン,Fire Incineroar V Deck,2020-07-10,"Vスタートデッキ炎 ガオガエン,Vスタートデッキ炎ガオガエン",種セット,DIV01,IP001,MK001,PC_BOX
SD,Vスタートデッキ水 ホエルオー,Water Wailord V Deck,2020-07-10,"Vスタートデッキ水 ホエルオー,Vスタートデッキ水ホエルオー",種セット,DIV01,IP001,MK001,PC_BOX
SD,Vスタートデッキ雷 ピカチュウ,Lightning Pikachu V Deck,2020-07-10,"Vスタートデッキ雷 ピカチュウ,Vスタートデッキ雷ピカチュウ",種セット,DIV01,IP001,MK001,PC_BOX
SD,Vスタートデッキ超 ミュウ,Psychic Mew V Deck,2020-07-10,"Vスタートデッキ超 ミュウ,Vスタートデッキ超ミュウ",種セット,DIV01,IP001,MK001,PC_BOX
SD,Vスタートデッキ闘 ルカリオ,Fighting Lucario V Deck,2020-07-10,"Vスタートデッキ闘 ルカリオ,Vスタートデッキ闘ルカリオ",種セット,DIV01,IP001,MK001,PC_BOX
SD,Vスタートデッキ悪 ガラルヤドラン,Darkness Galarian Slowbro V Deck,2020-07-10,"Vスタートデッキ悪 ガラルヤドラン,Vスタートデッキ悪ガラルヤドラン",種セット,DIV01,IP001,MK001,PC_BOX
SD,Vスタートデッキ鋼 ジュラルドン,Metal Duraludon V Deck,2020-07-10,"Vスタートデッキ鋼 ジュラルドン,Vスタートデッキ鋼ジュラルドン",種セット,DIV01,IP001,MK001,PC_BOX
SD,Vスタートデッキ無色 イーブイ,Colorless Eevee V Deck,2020-07-10,"Vスタートデッキ無色 イーブイ,Vスタートデッキ無色イーブイ",種セット,DIV01,IP001,MK001,PC_BOX
SP2,VMAXスペシャルセット,VMAX Special Set,2020-10-23,VMAXスペシャルセット,イーブイヒーローズ,DIV01,IP001,MK001,PC_BOX
SEF,スターターセットVMAX フシギバナ,Venusaur VMAX Starter Set,2020-12-04,"スターターセットVMAX フシギバナ,スターターセットVMAXフシギバナ",種セット,DIV01,IP001,MK001,PC_BOX
SEK,スターターセットVMAX カメックス,Blastoise VMAX Starter Set,2020-12-04,"スターターセットVMAX カメックス,スターターセットVMAXカメックス",種セット,DIV01,IP001,MK001,PC_BOX
,VMAX 対戦トリプルスターターセット,VMAX Battle Triple Starter Set,2020-12-04,"VMAX 対戦トリプルスターターセット,VMAX対戦トリプルスターターセット",,DIV01,IP001,MK001,PC_BOX
